module,n_sig_pathways,top_term,top_q,module_size,n_DE,module_label
3,185,REACTOME_CELL_CYCLE_MITOTIC,0,570,443,CELL CYCLE MITOTIC
7,75,REACTOME_RHO_GTPASE_CYCLE,0,405,294,RHO GTPASE CYCLE
11,18,REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,8.202270473348308e-303,177,147,PROCESSING OF CAPPED INTRON CONTAINING PRE MRNA
9,203,REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,1.8479231360842906e-256,771,557,CLASS I MHC MEDIATED ANTIGEN PROCESSING PRESENTATION
13,2,REACTOME_MITOCHONDRIAL_TRANSLATION,4.997158458775458e-212,91,66,MITOCHONDRIAL TRANSLATION
1,44,REACTOME_NEUTROPHIL_DEGRANULATION,1.1873114982209225e-206,588,367,NEUTROPHIL DEGRANULATION
2,317,REACTOME_SIGNALING_BY_GPCR,1.2907681473216406e-189,1021,653,SIGNALING BY GPCR
5,109,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,1.6509042907468002e-176,685,519,ASPARAGINE N LINKED GLYCOSYLATION
8,225,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,1.0121574172264441e-164,1218,900,TRANSCRIPTIONAL REGULATION BY TP53
4,82,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,1.1477035871868104e-147,723,462,SLC MEDIATED TRANSMEMBRANE TRANSPORT
6,132,REACTOME_RRNA_PROCESSING,3.178087077078574e-129,974,639,RRNA PROCESSING
